Row,BL,bri,cortexTraj
R628,0,0,0
R629,0,0,1
R630,0,0,0
R631,0,0,0
R632,0,0,0
R633,0,1,1
R634,0,0,0
R635,0,0,0
R636,0,0,0
R637,0,0,0
R638,0,0,0
R639,0,0,0
R640,0,0,1
R641,0,0,0
R642,0,0,0
R643,0,1,0
R644,0,0,1
R645,0,0,0
R646,0,0,0
R647,0,0,0
R648,0,0,0
R649,0,0,0
R650,0,0,0
R651,0,0,0
R652,0,0,0
R653,0,0,0
R654,0,0,0
R655,0,0,0
R656,0,1,0
R657,0,0,0
R658,0,0,0
R659,0,0,0
R660,0,0,0
R661,0,1,0
R662,0,0,0
R663,0,0,0
R664,0,1,1
R665,0,0,0
R666,0,0,0
R667,0,0,0
R668,0,0,0
R669,0,0,0
R670,0,0,0
R671,0,0,0
R672,0,0,0
R673,0,0,0
R674,0,0,0
R675,1,0,0
R676,0,0,1
R677,0,0,0
R678,0,0,0
R679,0,0,1
R680,0,0,0
R681,0,0,0
R682,0,0,0
R683,0,0,0
R684,0,0,0
R685,0,0,0
R686,0,0,0
R687,0,0,0
R688,0,0,0
R689,0,0,0
R690,0,0,0
R691,0,0,0
R692,0,0,0
R693,0,0,0
R694,0,0,0
R695,0,0,1
R696,0,0,0
R697,0,1,0
R698,0,0,0
R699,0,0,0
R700,0,0,1
R701,0,1,0
R702,0,0,0
R703,0,0,1
R704,0,0,0
R705,0,0,0
R706,0,0,0
R707,0,1,0
R708,0,0,0
R709,0,0,0
R710,0,0,0
R711,0,0,1
R712,0,0,0
R713,0,0,0
R714,0,0,0
R715,0,0,0
R716,0,0,0
R717,0,0,0
R718,0,0,0
R719,0,0,0
R720,0,0,1
R721,0,0,0
R722,0,0,0
R723,0,0,0
R724,0,0,0
R725,0,0,0
R726,0,0,0
R727,0,0,0
R728,0,0,0
R729,0,0,0
R730,0,0,0
R731,0,0,0
R732,0,0,0
R733,0,0,1
R734,0,0,0
R735,0,0,0
R736,0,0,0
R737,0,0,0
R738,0,0,0
R739,0,0,0
R740,0,0,1
R741,0,0,0
R742,0,0,1
R743,0,0,0
R744,0,0,0
R745,0,0,0
R746,0,0,0
R747,0,1,0
R748,0,0,1
R749,0,0,0
R750,0,0,0
R751,0,0,0
R752,0,0,0
R753,0,0,0
R754,0,0,0
R755,1,1,0
R756,1,0,1
R757,0,0,0
R758,0,0,0
R759,0,0,0
R760,0,0,0
R761,0,0,0
R762,0,0,0
R763,0,1,0
R764,0,0,0
R765,0,0,0
R766,0,0,0
R767,0,0,0
R768,0,0,0
R769,0,0,0
R770,1,0,0
R771,0,0,0
R772,0,0,1
R773,0,0,0
R774,0,0,0
R775,0,0,0
R776,0,0,0
R777,0,0,0
R778,0,0,0
R779,0,0,0
R780,0,0,0
R781,0,0,0
R782,0,0,0
R783,0,0,0
R784,0,0,0
R785,0,0,0
R786,0,0,0
R787,0,0,0
R788,0,0,1
R789,0,1,0
R790,0,0,0
R791,0,0,0
R792,0,0,0
R793,0,0,0
R794,0,0,0
R795,0,0,0
R796,0,0,0
R797,0,0,0
R798,0,0,0
R799,0,0,0
R800,0,0,0
R801,0,0,0
R802,0,0,1
R803,0,0,0
R804,0,0,0
R805,0,0,0
R806,0,0,0
R807,0,0,1
R808,0,0,0
R809,0,0,0
R810,0,0,0
R811,0,0,0
R812,0,0,0
R813,0,0,0
R814,0,0,1
R815,0,0,0
R816,0,0,0
R817,0,0,0
R818,0,0,0
R819,0,0,0
R820,0,0,1
R821,0,0,0
R822,0,0,0
R823,0,0,0
R824,0,0,0
R825,0,0,1
R826,0,0,0
R827,0,0,0
R828,0,0,0
R829,0,0,0
R830,0,1,0
R831,0,0,0
R832,0,0,0
R833,0,0,0
R834,0,0,0
R835,0,0,0
R836,0,0,0
R837,0,0,0
R838,0,0,0
R839,0,0,0
R840,0,0,0
R841,0,0,0
R842,0,0,0
R843,0,0,0
R844,0,0,0
R845,0,0,0
R846,0,0,0
R847,0,0,0
R848,0,0,0
R849,0,0,0
R850,0,0,0
R851,0,0,0
R852,0,0,0
R853,0,0,0
R854,0,0,0
R855,1,0,0
R856,0,0,0
R857,0,0,0
R858,0,0,0
R859,0,0,0
R860,0,0,0
R861,0,0,0
R862,0,1,0
R863,0,0,0
R864,0,1,1
R865,0,0,0
R866,0,0,0
R867,1,0,1
R868,0,0,0
R869,0,0,0
R870,0,1,0
R871,0,0,0
R872,0,0,0
R873,0,0,0
R874,0,0,0
R875,0,0,0
R876,0,0,0
R877,0,0,0
R878,0,0,0
R879,0,0,0
R880,0,0,0
R881,0,0,0
R882,0,0,0
R883,0,0,0
R884,0,0,1
R885,0,0,0
R886,0,0,1
R887,0,0,0
R888,0,1,0
R889,0,0,1
R890,0,0,1
R891,0,0,1
R892,0,0,0
R893,0,0,0
R894,0,0,0
R895,0,0,0
R896,0,0,0
R897,0,0,0
R898,0,0,0
R899,0,0,0
R900,0,0,0
R901,0,0,0
R902,0,0,1
R903,0,0,1
R904,0,0,1
R905,0,0,0
R906,0,1,0
R907,0,0,0
R908,0,0,0
R909,0,0,0
R910,0,0,0
R911,0,0,0
R912,0,0,0
R913,0,1,0
R914,0,0,0
R915,0,0,0
R916,0,0,0
R917,0,1,0
R918,0,0,0
R919,0,0,0
R920,0,0,0
R921,0,0,0
R922,0,0,0
R923,0,0,0
R924,0,0,0
R925,0,0,0
R926,0,0,0
R927,0,0,0
R928,0,0,0
R929,0,0,1
R930,0,0,0
R931,0,0,0
R932,0,0,0
R933,0,0,0
R934,0,0,0
R935,0,0,0
R936,0,0,0
R937,0,0,0
R938,0,0,1
R939,0,0,0
R940,0,0,1
R941,0,0,0
R942,0,0,0
R943,0,0,0
R944,0,0,0
R945,0,0,0
R946,0,0,0
R947,0,0,0
R948,0,0,0
R949,0,0,0
R950,0,0,0
R951,0,0,0
R952,0,0,0
R953,0,0,0
R954,0,0,0
R955,0,0,0
R956,0,0,1
R957,0,0,0
R958,0,0,0
R959,0,0,1
R960,0,0,0
R961,0,0,1
R962,0,1,0
R963,0,0,0
R964,0,0,0
R965,0,1,0
R966,0,0,0
R967,0,0,0
R968,0,0,0
R969,0,0,0
R970,0,0,0
R971,1,1,1
R972,1,1,1
R973,0,0,0
R974,0,0,0
R975,0,0,0
R976,0,0,0
R977,0,0,0
R978,0,0,0
R979,0,0,1
R980,1,1,1
R981,0,0,0
R982,1,1,0
R983,0,0,1
R984,0,0,0
R985,0,0,0
R986,0,0,0
R987,0,0,0
R988,0,0,0
R989,1,1,0
R990,1,0,0
R991,0,0,0
R992,0,0,0
R993,0,0,0
R994,0,0,0
R995,0,0,0
R996,0,0,0
R997,0,0,1
R998,0,0,0
R999,1,1,0
R1000,0,0,0
R1001,0,0,1
R1002,0,0,0
R1003,0,1,0
R1004,0,0,0
R1005,0,0,0
R1006,0,0,0
R1007,0,0,0
